LAYER,ALPHA,BETA,DATASET,SCOPE,FILE_EER,MUSIC_EER
1,10.0,0.25,source_disjoint_mixed_v1,worst_codec,0.38,0.43999999999999995
1,10.0,0.5,external_mixed_v1,all_codecs,0.25249999999999995,0.27
1,10.0,0.5,external_mixed_v1,worst_codec,0.28,0.30000000000000004
1,10.0,0.5,source_disjoint_mixed_v1,all_codecs,0.355,0.4175
1,10.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,10.0,0.75,external_mixed_v1,all_codecs,0.2520833333333333,0.24624999999999997
1,10.0,0.75,external_mixed_v1,worst_codec,0.27166666666666667,0.31000000000000005
1,10.0,0.75,source_disjoint_mixed_v1,all_codecs,0.35,0.395
1,10.0,0.75,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,10.0,1.0,external_mixed_v1,all_codecs,0.2529166666666667,0.24624999999999997
1,10.0,1.0,external_mixed_v1,worst_codec,0.28,0.29000000000000004
1,10.0,1.0,source_disjoint_mixed_v1,all_codecs,0.3491666666666667,0.42000000000000004
1,10.0,1.0,source_disjoint_mixed_v1,worst_codec,0.38,0.47
1,100.0,0.0,external_mixed_v1,all_codecs,0.25958333333333333,0.32125000000000004
1,100.0,0.0,external_mixed_v1,worst_codec,0.29000000000000004,0.35
1,100.0,0.0,source_disjoint_mixed_v1,all_codecs,0.355,0.43999999999999995
1,100.0,0.0,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,100.0,0.1,external_mixed_v1,all_codecs,0.25749999999999995,0.3125
1,100.0,0.1,external_mixed_v1,worst_codec,0.28,0.345
1,100.0,0.1,source_disjoint_mixed_v1,all_codecs,0.355,0.4375
1,100.0,0.1,source_disjoint_mixed_v1,worst_codec,0.37666666666666665,0.42000000000000004
1,100.0,0.25,external_mixed_v1,all_codecs,0.25,0.29500000000000004
1,100.0,0.25,external_mixed_v1,worst_codec,0.28,0.31000000000000005
1,100.0,0.25,source_disjoint_mixed_v1,all_codecs,0.365,0.4325
1,100.0,0.25,source_disjoint_mixed_v1,worst_codec,0.38,0.43999999999999995
1,100.0,0.5,external_mixed_v1,all_codecs,0.25249999999999995,0.27
1,100.0,0.5,external_mixed_v1,worst_codec,0.28,0.30000000000000004
1,100.0,0.5,source_disjoint_mixed_v1,all_codecs,0.355,0.42000000000000004
1,100.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,100.0,0.75,external_mixed_v1,all_codecs,0.2504166666666667,0.24624999999999997
1,100.0,0.75,external_mixed_v1,worst_codec,0.28,0.31000000000000005
1,100.0,0.75,source_disjoint_mixed_v1,all_codecs,0.35,0.395
1,100.0,0.75,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,100.0,1.0,external_mixed_v1,all_codecs,0.25249999999999995,0.24624999999999997
1,100.0,1.0,external_mixed_v1,worst_codec,0.28,0.29000000000000004
1,100.0,1.0,source_disjoint_mixed_v1,all_codecs,0.3491666666666667,0.4175
1,100.0,1.0,source_disjoint_mixed_v1,worst_codec,0.38,0.47
1,1000.0,0.0,external_mixed_v1,all_codecs,0.25958333333333333,0.32125000000000004
1,1000.0,0.0,external_mixed_v1,worst_codec,0.29000000000000004,0.35
1,1000.0,0.0,source_disjoint_mixed_v1,all_codecs,0.355,0.43999999999999995
1,1000.0,0.0,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,1000.0,0.1,external_mixed_v1,all_codecs,0.25749999999999995,0.31375
1,1000.0,0.1,external_mixed_v1,worst_codec,0.28,0.33999999999999997
1,1000.0,0.1,source_disjoint_mixed_v1,all_codecs,0.355,0.4375
1,1000.0,0.1,source_disjoint_mixed_v1,worst_codec,0.38,0.42000000000000004
1,1000.0,0.25,external_mixed_v1,all_codecs,0.25,0.29625
1,1000.0,0.25,external_mixed_v1,worst_codec,0.28,0.31999999999999995
1,1000.0,0.25,source_disjoint_mixed_v1,all_codecs,0.365,0.43000000000000005
1,1000.0,0.25,source_disjoint_mixed_v1,worst_codec,0.38,0.43999999999999995
1,1000.0,0.5,external_mixed_v1,all_codecs,0.24750000000000003,0.27375000000000005
1,1000.0,0.5,external_mixed_v1,worst_codec,0.28,0.30000000000000004
1,1000.0,0.5,source_disjoint_mixed_v1,all_codecs,0.35916666666666663,0.42000000000000004
1,1000.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,1000.0,0.75,external_mixed_v1,all_codecs,0.24750000000000003,0.24624999999999997
1,1000.0,0.75,external_mixed_v1,worst_codec,0.28,0.30000000000000004
1,1000.0,0.75,source_disjoint_mixed_v1,all_codecs,0.3541666666666667,0.4
1,1000.0,0.75,source_disjoint_mixed_v1,worst_codec,0.38,0.43999999999999995
1,1000.0,1.0,external_mixed_v1,all_codecs,0.2504166666666667,0.24
1,1000.0,1.0,external_mixed_v1,worst_codec,0.27,0.28500000000000003
1,1000.0,1.0,source_disjoint_mixed_v1,all_codecs,0.355,0.41500000000000004
1,1000.0,1.0,source_disjoint_mixed_v1,worst_codec,0.38,0.45999999999999996
1,10000.0,0.0,external_mixed_v1,all_codecs,0.25958333333333333,0.32125000000000004
1,10000.0,0.0,external_mixed_v1,worst_codec,0.29000000000000004,0.35
1,10000.0,0.0,source_disjoint_mixed_v1,all_codecs,0.355,0.43999999999999995
1,10000.0,0.0,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,10000.0,0.1,external_mixed_v1,all_codecs,0.25749999999999995,0.31499999999999995
1,10000.0,0.1,external_mixed_v1,worst_codec,0.2816666666666667,0.345
