GROUP,VALUE,BASE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
MIX_MODE,concurrent,0.15,100,100,100,100,0.43333333333333335,0.33999999999999997,0.28,,,0.6313333333333333,,
MIX_MODE,concurrent,0.2,100,100,100,100,0.36666666666666664,0.33999999999999997,0.26,,,0.6706666666666666,,
MIX_MODE,music_only,0.0,50,50,0,50,0.24,,0.24,,,,,
MIX_MODE,music_only,0.025,50,50,0,50,0.24,,0.24,,,,,
MIX_MODE,music_only,0.05,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
MIX_MODE,music_only,0.075,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
MIX_MODE,music_only,0.1,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
MIX_MODE,music_only,0.15,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
MIX_MODE,music_only,0.2,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
MIX_MODE,partial_overlap,0.0,100,100,100,100,0.36,0.33999999999999997,0.31999999999999995,,,0.656,,
MIX_MODE,partial_overlap,0.025,100,100,100,100,0.32666666666666666,0.31999999999999995,0.31999999999999995,,,0.6766666666666667,,
MIX_MODE,partial_overlap,0.05,100,100,100,100,0.32666666666666666,0.31999999999999995,0.31999999999999995,,,0.6766666666666667,,
MIX_MODE,partial_overlap,0.075,100,100,100,100,0.31999999999999995,0.31999999999999995,0.30000000000000004,,,0.686,,
MIX_MODE,partial_overlap,0.1,100,100,100,100,0.31999999999999995,0.31999999999999995,0.28,,,0.6920000000000001,,
MIX_MODE,partial_overlap,0.15,100,100,100,100,0.28,0.30000000000000004,0.26,,,0.722,,
MIX_MODE,partial_overlap,0.2,100,100,100,100,0.28,0.28,0.26,,,0.726,,
MIX_MODE,sequential,0.0,100,100,100,100,0.36,0.21999999999999997,0.38,,,0.662,,
MIX_MODE,sequential,0.025,100,100,100,100,0.31999999999999995,0.21999999999999997,0.33999999999999997,,,0.6940000000000001,,
MIX_MODE,sequential,0.05,100,100,100,100,0.28,0.19999999999999998,0.33999999999999997,,,0.718,,
MIX_MODE,sequential,0.075,100,100,100,100,0.2733333333333334,0.18000000000000002,0.30000000000000004,,,0.7373333333333333,,
MIX_MODE,sequential,0.1,100,100,100,100,0.24666666666666665,0.18000000000000002,0.26,,,0.7626666666666667,,
MIX_MODE,sequential,0.15,100,100,100,100,0.24666666666666665,0.14,0.28,,,0.7646666666666667,,
MIX_MODE,sequential,0.2,100,100,100,100,0.23333333333333334,0.14,0.28,,,0.7713333333333333,,
MIX_MODE,voice_only,0.0,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.025,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.05,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.075,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.1,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.15,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
MIX_MODE,voice_only,0.2,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
COMPONENT_CASE,music_fake,0.0,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.025,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.05,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.075,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.1,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.15,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_fake,0.2,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.0,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.025,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.05,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.075,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.1,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.15,25,25,0,25,,,,,,,,
COMPONENT_CASE,music_real,0.2,25,25,0,25,,,,,,,,
COMPONENT_CASE,voice_fake,0.0,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.025,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.05,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.075,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.1,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.15,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.2,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.0,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.025,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.05,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.075,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.1,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.15,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.2,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.0,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.025,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.05,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.075,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.1,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.15,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.2,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real,0.0,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.025,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.05,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.075,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.1,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.15,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real,0.2,25,25,25,0,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.0,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.025,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.05,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.075,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.1,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.15,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.2,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.0,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.025,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.05,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.075,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.1,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.15,75,75,75,75,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.2,75,75,75,75,,,,,,,,
CHANNEL,clean_flac,0.0,66,66,58,58,0.33333333333333337,0.27586206896551724,0.2928571428571428,1.0,1.0,0.6903037766830871,1.0,0.7212733990147784
CHANNEL,clean_flac,0.025,66,66,58,58,0.2873015873015873,0.2068965517241379,0.24166666666666667,1.0,1.0,0.7424698960043787,1.0,0.7682229064039409
CHANNEL,clean_flac,0.05,66,66,58,58,0.2873015873015873,0.2068965517241379,0.2583333333333333,1.0,1.0,0.7374698960043788,1.0,0.7637229064039409
CHANNEL,clean_flac,0.075,66,66,58,58,0.2873015873015873,0.2068965517241379,0.2928571428571428,1.0,1.0,0.727112753147236,1.0,0.7544014778325124
CHANNEL,clean_flac,0.1,66,66,58,58,0.2873015873015873,0.2068965517241379,0.2928571428571428,1.0,1.0,0.727112753147236,1.0,0.7544014778325124
CHANNEL,clean_flac,0.15,66,66,58,58,0.2761904761904762,0.2068965517241379,0.2928571428571428,1.0,1.0,0.7326683087027915,1.0,0.7594014778325123
CHANNEL,clean_flac,0.2,66,66,58,58,0.24126984126984127,0.1724137931034483,0.2928571428571428,1.0,1.0,0.7570251778872469,1.0,0.7813226600985221
CHANNEL,mp3_64k,0.0,67,67,59,58,0.2696969696969697,0.271264367816092,0.4654761904761905,0.9936440677966102,1.0,0.6712557844454397,0.9968220338983051,0.7038124093907263
CHANNEL,mp3_64k,0.025,67,67,59,58,0.2696969696969697,0.271264367816092,0.39642857142857146,0.9936440677966102,1.0,0.6919700701597253,0.9968220338983051,0.7224552665335833
CHANNEL,mp3_64k,0.05,67,67,59,58,0.2696969696969697,0.23735632183908048,0.32738095238095233,0.9936440677966102,1.0,0.7194659650694133,0.9968220338983051,0.7472015719523024
CHANNEL,mp3_64k,0.075,67,67,59,58,0.2696969696969697,0.20344827586206896,0.2928571428571428,0.9936440677966102,1.0,0.7366047171219585,0.9968220338983051,0.7626264487995933
CHANNEL,mp3_64k,0.1,67,67,59,58,0.22474747474747475,0.20344827586206896,0.2928571428571428,0.9936440677966102,1.0,0.759079464596706,0.9968220338983051,0.782853721526866
CHANNEL,mp3_64k,0.15,67,67,59,58,0.1909090909090909,0.20344827586206896,0.2928571428571428,0.9936440677966102,1.0,0.7759986565158979,0.9968220338983051,0.7980809942541387
CHANNEL,mp3_64k,0.2,67,67,59,58,0.1909090909090909,0.20344827586206896,0.2583333333333333,0.9936440677966102,1.0,0.7863557993730408,0.9968220338983051,0.8074024228255672
CHANNEL,noisy_flac,0.0,67,67,58,59,0.3452127659574468,0.2068965517241379,0.38997695852534564,1.0,1.0,0.6690212191188453,1.0,0.7021190972069608
CHANNEL,noisy_flac,0.025,67,67,58,59,0.3452127659574468,0.1724137931034483,0.35599078341013823,1.0,1.0,0.6861136233775454,1.0,0.7175022610397909
CHANNEL,noisy_flac,0.05,67,67,58,59,0.298936170212766,0.1724137931034483,0.2880184331797235,1.0,1.0,0.7296436263190103,1.0,0.7566792636871092
CHANNEL,noisy_flac,0.075,67,67,58,59,0.2882978723404255,0.1724137931034483,0.2540322580645161,1.0,1.0,0.7451586277897427,1.0,0.7706427650107684
CHANNEL,noisy_flac,0.1,67,67,58,59,0.24202127659574468,0.1724137931034483,0.2540322580645161,1.0,1.0,0.7682969256620832,1.0,0.7914672330958749
CHANNEL,noisy_flac,0.15,67,67,58,59,0.19574468085106386,0.13793103448275865,0.2540322580645161,1.0,1.0,0.7983317752585615,1.0,0.8184985977327053
CHANNEL,noisy_flac,0.2,67,67,58,59,0.149468085106383,0.10344827586206895,0.2540322580645161,1.0,1.0,0.8283666248550399,1.0,0.8455299623695359
CHANNEL,ogg_48k,0.0,67,67,58,59,0.32971014492753625,0.24137931034482762,0.23735632183908045,0.9885057471264368,1.0,0.7156621689155422,0.9942528735632183,0.7435212393803099
CHANNEL,ogg_48k,0.025,67,67,58,59,0.32971014492753625,0.24137931034482762,0.20344827586206893,0.9885057471264368,1.0,0.7258345827086456,0.9942528735632183,0.7526764117941029
CHANNEL,ogg_48k,0.05,67,67,58,59,0.2841614906832298,0.24137931034482762,0.20344827586206893,0.9885057471264368,1.0,0.7486089098307989,0.9942528735632183,0.7731733062040408
CHANNEL,ogg_48k,0.075,67,67,58,59,0.2841614906832298,0.24137931034482762,0.23735632183908045,0.9885057471264368,1.0,0.7384364960376955,0.9942528735632183,0.7640181337902477
CHANNEL,ogg_48k,0.1,67,67,58,59,0.2841614906832298,0.24137931034482762,0.23735632183908045,0.9885057471264368,1.0,0.7384364960376955,0.9942528735632183,0.7640181337902477
CHANNEL,ogg_48k,0.15,67,67,58,59,0.2841614906832298,0.24137931034482762,0.23735632183908045,0.9885057471264368,1.0,0.7384364960376955,0.9942528735632183,0.7640181337902477
CHANNEL,ogg_48k,0.2,67,67,58,59,0.2841614906832298,0.24137931034482762,0.23735632183908045,0.9885057471264368,1.0,0.7384364960376955,0.9942528735632183,0.7640181337902477
CHANNEL,stereo_wav,0.0,66,66,58,58,0.2554347826086957,0.3448275862068966,0.32738095238095244,0.9762931034482759,0.9913793103448276,0.7051028057399871,0.9838362068965518,0.7329761458556436
CHANNEL,stereo_wav,0.025,66,66,58,58,0.2554347826086957,0.31034482758620685,0.29285714285714287,0.9762931034482759,0.9913793103448276,0.7223565003212679,0.9838362068965518,0.7485044709787964
CHANNEL,stereo_wav,0.05,66,66,58,58,0.2554347826086957,0.31034482758620685,0.29285714285714287,0.9762931034482759,0.9913793103448276,0.7223565003212679,0.9838362068965518,0.7485044709787964
CHANNEL,stereo_wav,0.075,66,66,58,58,0.29130434782608694,0.31034482758620685,0.25833333333333336,0.9762931034482759,0.9913793103448276,0.7147788605697152,0.9838362068965518,0.7416845952023989
CHANNEL,stereo_wav,0.1,66,66,58,58,0.2554347826086957,0.27586206896551724,0.25833333333333336,0.9762931034482759,0.9913793103448276,0.7396101949025488,0.9838362068965518,0.7640327961019491
CHANNEL,stereo_wav,0.15,66,66,58,58,0.2554347826086957,0.27586206896551724,0.24166666666666664,0.9762931034482759,0.9913793103448276,0.7446101949025488,0.9838362068965518,0.7685327961019491
CHANNEL,stereo_wav,0.2,66,66,58,58,0.2554347826086957,0.27586206896551724,0.20714285714285713,0.9762931034482759,0.9913793103448276,0.7549673377596916,0.9838362068965518,0.7778542246733777
CHANNEL,telephone_flac,0.0,67,67,59,58,0.3861283643892339,0.23735632183908045,0.39642857142857146,0.9915254237288136,0.9923371647509579,0.6405359820089955,0.9919312942398857,0.6756755132320846
CHANNEL,telephone_flac,0.025,67,67,59,58,0.3752587991718426,0.23735632183908045,0.39642857142857146,0.9915254237288136,0.9923371647509579,0.6459707646176912,0.9919312942398857,0.6805668175799107
CHANNEL,telephone_flac,0.05,67,67,59,58,0.3405797101449275,0.23735632183908045,0.36190476190476184,0.9915254237288136,0.9923371647509579,0.6736674519882917,0.9919312942398857,0.7054938362134512
CHANNEL,telephone_flac,0.075,67,67,59,58,0.32971014492753625,0.23735632183908045,0.36190476190476184,0.9915254237288136,0.9923371647509579,0.6791022345969873,0.9919312942398857,0.7103851405612772
CHANNEL,telephone_flac,0.1,67,67,59,58,0.32971014492753625,0.23735632183908045,0.32738095238095233,0.9915254237288136,0.9923371647509579,0.6894593774541301,0.9919312942398857,0.7197065691327057
CHANNEL,telephone_flac,0.15,67,67,59,58,0.32971014492753625,0.23735632183908045,0.2928571428571428,0.9915254237288136,0.9923371647509579,0.699816520311273,0.9919312942398857,0.7290279977041343
CHANNEL,telephone_flac,0.2,67,67,59,58,0.2841614906832298,0.23735632183908045,0.24166666666666667,0.9915254237288136,0.9923371647509579,0.737947990290569,0.9919312942398857,0.7633463206855008
